DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,TOU Period,TOU Rate (RM/kWh),TOU Cost Savings (RM),Cumulative TOU Cost Savings (RM),Negative TOU Savings Flag
2025-09-27 20:30:00,392.4,2774.357,2381.957,1190.9785,12855866.205314204,0,mid,0.357,425.17932449999995,4151396.8174463143,0
2025-09-27 21:00:00,381.6,2764.2576,2382.6576,1191.3288,12857057.534114204,0,mid,0.357,425.3043816,4151822.1218279144,0
2025-09-27 21:30:00,398.0,2779.5977,2381.5977,1190.79885,12858248.332964204,0,mid,0.357,425.11518944999995,4152247.2370173642,0
2025-09-27 22:00:00,396.8,2787.6702,2390.8702,1195.4351,12859443.768064205,0,offpeak,0.281,335.9172631,4152583.154280464,0
2025-09-27 22:30:00,401.8,2778.8982,2377.0982,1188.5491,12860632.317164203,0,offpeak,0.281,333.98229710000004,4152917.1365775643,0
2025-09-27 23:00:00,364.6,2780.966,2416.366,1208.183,12861840.500164203,0,offpeak,0.281,339.49942300000004,4153256.6360005643,0
2025-09-27 23:30:00,376.6,2778.7427,2402.1427,1201.07135,12863041.571514206,0,offpeak,0.281,337.50104935,4153594.1370499143,0
2025-09-28 00:00:00,349.6,2777.0562,2427.4562,1213.7281,12864255.299614206,0,offpeak,0.281,341.05759610000007,4153935.1946460144,0
2025-09-28 00:30:00,368.4,2767.8967,2399.4967,1199.7483499999998,12865455.047964206,0,offpeak,0.281,337.12928635,4154272.3239323646,0
2025-09-28 01:00:00,346.2,2765.1326,2418.9326,1209.4663,12866664.514264204,0,offpeak,0.281,339.86003030000006,4154612.1839626646,0
2025-09-28 01:30:00,365.6,2765.7424,2400.1424,1200.0712,12867864.585464206,0,offpeak,0.281,337.22000720000005,4154949.4039698644,0
2025-09-28 02:00:00,337.4,2757.842,2420.442,1210.221,12869074.806464206,0,offpeak,0.281,340.07210100000003,4155289.4760708646,0
2025-09-28 02:30:00,321.2,2752.629,2431.429,1215.7145,12870290.520964207,0,offpeak,0.281,341.61577450000004,4155631.091845365,0
2025-09-28 03:00:00,344.2,2752.4385,2408.2385000000004,1204.1192500000002,12871494.640214209,0,offpeak,0.281,338.3575092500001,4155969.4493546146,0
2025-09-28 03:30:00,318.4,2758.1562,2439.7562,1219.8781,12872714.518314209,0,offpeak,0.281,342.7857461,4156312.2351007145,0
2025-09-28 04:00:00,355.2,2753.2295,2398.0295,1199.01475,12873913.533064209,0,offpeak,0.281,336.92314475000006,4156649.1582454643,0
2025-09-28 04:30:00,326.0,2752.116,2426.116,1213.058,12875126.591064207,0,offpeak,0.281,340.869298,4156990.027543464,0
2025-09-28 05:00:00,352.0,2755.3188,2403.3188,1201.6594,12876328.250464208,0,offpeak,0.281,337.66629140000003,4157327.693834864,0
2025-09-28 05:30:00,323.4,2749.772,2426.372,1213.186,12877541.436464207,0,offpeak,0.281,340.905266,4157668.599100864,0
2025-09-28 06:00:00,351.8,2755.052,2403.252,1201.626,12878743.062464207,0,offpeak,0.281,337.65690600000005,4158006.256006864,0
2025-09-28 06:30:00,320.4,2778.5334,2458.1334,1229.0667,12879972.129164208,0,offpeak,0.281,345.36774270000006,4158351.623749564,0
2025-09-28 07:00:00,316.2002,2868.7954,2552.5952,1276.2976,12881248.426764209,0,offpeak,0.281,358.63962560000004,4158710.263375164,0
2025-09-28 07:30:00,417.4008,2883.998,2466.5972,1233.2986,12882481.725364206,0,offpeak,0.281,346.55690660000005,4159056.820281764,0
2025-09-28 08:00:00,409.6018,2878.407,2468.8052,1234.4026,12883716.127964206,0,mid,0.357,440.68172819999995,4159497.502009964,0
2025-09-28 08:30:00,357.602,2870.4985,2512.8965000000003,1256.44825,12884972.576214204,0,mid,0.357,448.55202524999993,4159946.0540352142,0
2025-09-28 09:00:00,423.6018,2875.199,2451.5972,1225.7986,12886198.374814205,0,mid,0.357,437.61010020000003,4160383.664135414,0
2025-09-28 09:30:00,408.8018,2873.5786,2464.7768,1232.3883999999998,12887430.763214204,0,mid,0.357,439.96265879999993,4160823.6267942144,0
2025-09-28 10:00:00,591.0028000000001,2873.2795,2282.2767,1141.13835,12888571.901564203,0,peak,0.584,666.4247963999999,4161490.0515906145,0
2025-09-28 10:30:00,640.005,2868.0515,2228.0465,1114.02325,12889685.924814206,0,peak,0.584,650.589578,4162140.6411686144,0
2025-09-28 11:00:00,669.8072,2876.1316,2206.3244000000004,1103.1622000000002,12890789.087014206,0,peak,0.584,644.2467248,4162784.8878934146,0
2025-09-28 11:30:00,653.0108,2866.7625,2213.7517,1106.87585,12891895.962864203,0,peak,0.584,646.4154963999999,4163431.3033898147,0
2025-09-28 12:00:00,1213.4112,2868.8555,1655.4443,827.72215,12892723.685014203,0,peak,0.584,483.3897356,4163914.6931254147,0
2025-09-28 12:30:00,670.2164,2869.1128,2198.8964,1099.4481999999998,12893823.133214206,0,peak,0.584,642.0777487999999,4164556.770874215,0
2025-09-28 13:00:00,889.6088000000001,2858.6472,1969.0384,984.5192,12894807.652414206,0,peak,0.584,574.9592127999999,4165131.730087015,0
2025-09-28 13:30:00,577.409,2856.4956,2279.0866,1139.5433,12895947.195714206,0,peak,0.584,665.4932871999999,4165797.223374215,0
2025-09-28 14:00:00,795.0114,2855.766,2060.7546,1030.3773,12896977.573014203,0,mid,0.357,367.8446961,4166165.068070315,0
2025-09-28 14:30:00,956.217,2861.2686,1905.0516,952.5258,12897930.098814206,0,mid,0.357,340.0517106,4166505.119780915,0
2025-09-28 15:00:00,528.0114,2851.6104,2323.599,1161.7995,12899091.898314206,0,mid,0.357,414.7624215,4166919.882202415,0
2025-09-28 15:30:00,731.0092,2857.592,2126.5828,1063.2914,12900155.189714206,0,mid,0.357,379.5950298,4167299.477232215,0
2025-09-28 16:00:00,657.8076,2846.8857,2189.0781,1094.53905,12901249.728764206,0,mid,0.357,390.75044085,4167690.227673065,0
2025-09-28 16:30:00,574.8086,2840.6917,2265.8831,1132.94155,12902382.670314206,0,mid,0.357,404.46013335,4168094.687806415,0
2025-09-28 17:00:00,424.2066,2829.359,2405.1524,1202.5762,12903585.246514205,0,mid,0.357,429.3197034,4168524.007509815,0
2025-09-28 17:30:00,469.8041999999999,2809.1497,2339.3455,1169.67275,12904754.919264205,0,mid,0.357,417.57317175,4168941.580681565,0
2025-09-28 18:00:00,361.6024000000001,2775.578,2413.9756,1206.9878,12905961.907064203,0,mid,0.357,430.8946446,4169372.475326165,0
2025-09-28 18:30:00,433.4008,2752.8818,2319.481,1159.7405,12907121.647564204,0,mid,0.357,414.02735850000005,4169786.502684665,0
2025-09-28 19:00:00,361.6002,2738.8787,2377.2785000000003,1188.6392500000002,12908310.286814203,0,mid,0.357,424.34421225000006,4170210.8468969148,0
2025-09-28 19:30:00,403.2,2736.9666,2333.7666000000004,1166.8833000000002,12909477.170114204,0,mid,0.357,416.5773381000001,4170627.4242350147,0
2025-09-28 20:00:00,399.2,2736.6877,2337.4877,1168.74385,12910645.913964204,0,mid,0.357,417.24155445,4171044.6657894645,0
