DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,CO2 Avoided (kg),Cumulative CO2 Avoided (kg),Cumulative CO2 Avoided (tonnes)
2025-06-29 02:30:00,56.8,1790.452,1733.652,866.826,9287455.081359262,0,670.923324,7188490.232972131,7188.490232972131
2025-06-29 03:00:00,56.400000000000006,1726.1405,1669.7405,834.8702499999999,9288289.95160926,0,646.1895734999999,7189136.422545631,7189.136422545632
2025-06-29 03:30:00,54.2,1687.0175,1632.8175,816.4087499999999,9289106.36035926,0,631.9003725,7189768.322918131,7189.768322918131
2025-06-29 04:00:00,54.400000000000006,1676.6555,1622.2555,811.12775,9289917.48810926,0,627.8128785,7190396.135796631,7190.396135796631
2025-06-29 04:30:00,54.400000000000006,1621.7634,1567.3634,783.6817,9290701.16980926,0,606.5696358,7191002.705432431,7191.002705432431
2025-06-29 05:00:00,52.2,1655.4994,1603.2994,801.6496999999999,9291502.819509262,0,620.4768677999999,7191623.1823002305,7191.623182300231
2025-06-29 05:30:00,52.2,1608.4863,1556.2863,778.14315,9292280.962659262,0,602.2827981,7192225.465098331,7192.2254650983305
2025-06-29 06:00:00,50.2,1621.16,1570.96,785.48,9293066.442659264,0,607.9615200000001,7192833.426618331,7192.833426618331
2025-06-29 06:30:00,68.99999999999999,1695.1033,1626.1033,813.05165,9293879.494309263,0,629.3019771,7193462.728595431,7193.462728595431
2025-06-29 07:00:00,291.6,2160.415,1868.815,934.4075,9294813.901809264,0,723.231405,7194185.960000431,7194.185960000431
2025-06-29 07:30:00,289.20059999999995,2460.5688,2171.3682,1085.6841,9295899.585909264,0,840.3194933999999,7195026.279493831,7195.026279493831
2025-06-29 08:00:00,344.6018,2535.323,2190.7212,1095.3606,9296994.946509264,0,847.8091044,7195874.088598231,7195.874088598231
2025-06-29 08:30:00,428.2038,2526.6377,2098.4339,1049.21695,9298044.163459264,0,812.0939193,7196686.18251753,7196.68618251753
2025-06-29 09:00:00,598.211,2529.743,1931.532,965.766,9299009.929459265,0,747.502884,7197433.68540153,7197.43368540153
2025-06-29 09:30:00,1471.0152,2544.6785,1073.6633,536.83165,9299546.761109265,0,415.5076971,7197849.19309863,7197.84919309863
2025-06-29 10:00:00,1348.0194,2559.4854,1211.466,605.7330000000001,9300152.494109264,0,468.83734200000004,7198318.030440629,7198.31803044063
2025-06-29 10:30:00,1810.825,2562.0042,751.1791999999998,375.5895999999999,9300528.083709264,0,290.70635039999996,7198608.73679103,7198.6087367910295
2025-06-29 11:00:00,1963.0246,2567.1116,604.0870000000002,302.0435000000001,9300830.127209265,0,233.78166900000008,7198842.51846003,7198.84251846003
2025-06-29 11:30:00,2077.4272,2566.6086,489.1814,244.5907,9301074.717909263,0,189.3132018,7199031.83166183,7199.0318316618295
2025-06-29 12:00:00,2092.6282,2565.6384,473.0101999999997,236.50509999999983,9301311.223009266,0,183.05494739999986,7199214.886609229,7199.214886609229
2025-06-29 12:30:00,2251.8278,2557.9385,306.1107000000002,153.0553500000001,9301464.278359266,0,118.46484090000007,7199333.351450129,7199.333351450129
2025-06-29 13:00:00,2199.2292,2554.6787,355.4494999999997,177.72474999999986,9301642.003109263,0,137.55895649999988,7199470.91040663,7199.47091040663
2025-06-29 13:30:00,2202.8288,2557.155,354.3262000000004,177.1631000000002,9301819.166209266,0,137.12423940000016,7199608.03464603,7199.608034646029
2025-06-29 14:00:00,2218.2282,2555.3286,337.1003999999998,168.5501999999999,9301987.716409266,0,130.45785479999992,7199738.4925008295,7199.738492500829
2025-06-29 14:30:00,2131.6262,2555.4868,423.8606,211.9303,9302199.646709263,0,164.0340522,7199902.526553029,7199.902526553029
2025-06-29 15:00:00,2099.2266,2550.7285,451.5019000000002,225.7509500000001,9302425.397659265,0,174.7312353000001,7200077.257788329,7200.077257788329
2025-06-29 15:30:00,2015.8232,2545.2676,529.4444000000001,264.72220000000004,9302690.119859263,0,204.89498280000004,7200282.152771129,7200.282152771129
2025-06-29 16:00:00,1786.2194,2543.1567,756.9373,378.46865,9303068.588509263,0,292.9347351,7200575.087506229,7200.5750875062295
2025-06-29 16:30:00,1651.618,2539.8608,888.2428,444.1214,9303512.709909266,0,343.7499636,7200918.837469829,7200.91883746983
2025-06-29 17:00:00,1411.0138,2533.4585,1122.4447000000002,561.2223500000001,9304073.932259263,0,434.3860989000001,7201353.223568729,7201.353223568729
2025-06-29 17:30:00,1134.6093999999998,2525.3909,1390.7815,695.39075,9304769.323009266,0,538.2324405,7201891.456009229,7201.891456009229
2025-06-29 18:00:00,871.2064,2521.8948,1650.6884,825.3442,9305594.667209266,0,638.8164108,7202530.272420029,7202.530272420029
2025-06-29 18:30:00,637.6028,2521.3677,1883.7649,941.8824499999998,9306536.549659263,0,729.0170162999999,7203259.289436329,7203.259289436329
